	target	clause	context	verb	embedding	factive	tense	genre
0	Первый и главный аргумент , по отношению к которому остальные два имеют лишь второстепенное значение , заключается в том , будто я не понял темы , ошибочно вообразив , что требуется установить принцип этики , тогда как на самом деле вопрос главным образом касался связи между метафизикой и этикой .	, ошибочно вообразив , что требуется установить принцип этики , тогда как на самом деле вопрос главным образом касался связи между метафизикой и этикой .	['Так как\nАкадемия опубликовала свой отзыв о моей работе, то\nя вправе подвергнуть его разбору и представить свои\nвозражения.', 'Отзыв помещен мною вслед за\nсоответствующим трактатом3, и читатель\nузнает из него, что Королевская Академия не нашла в\nмоей работе решительно никаких достоинств, а только\nодни недостатки и что недостатки эти сформулированы\nв трех различных пунктах, которые я теперь\nпоследовательно и рассмотрю.']	понял	negation	True	past	philosophy
1	Но так поймет и должен понять ее всякий , кто прочтет тему : это прямо напечатано там в ясных , недвусмысленных выражениях и не может быть толкуемо иначе , пока слова латинского языка сохраняют свой смысл .	ее всякий , кто прочтет тему : это прямо напечатано там в ясных , недвусмысленных выражениях и не может быть толкуемо иначе , пока слова латинского языка сохраняют свой смысл .	['Это и есть, бесспорно, то fundamentum\nphilosophiae moralis (основание моральной философии\n(лат.)), о котором спрашивает тема: ясно,\nстало быть, как день, что тема действительно\nпредлагает искать и выставить принцип этики\n(ut principium aliquod Ethicae conderetur), не\nв смысле просто высшего предписания, основного\nправила, а как реальную основу всякой\nморальности и потому познавательную основу морали.', 'А меж тем рецензия отрицает это, говоря,\nчто мой трактат не может быть премирован ввиду\nтакого моего понимания задачи.']	понять	modals	True		philosophy
2	Ибо пока не существует признанная объективной и неоспоримая метафизика , т.е.просто метафизика , мы не знаем даже , возможна ли вообще подобная метафизика , а также & # 151 ; какова она будет и может быть .	, возможна ли вообще подобная метафизика , а также & # 151 ; какова она будет и может быть .	['А\nтут еще присоединяется и то обстоятельство, что\nякобы поставленный, хотя нигде не выраженный вопрос\nо связи между метафизикой и моралью\nсовершенно не допускает ответа и,\nследовательно, если признать за Академией хоть\nкакое-нибудь понимание дела, был бы невозможен:\nна него не может быть ответа потому\nименно, что просто метафизики нет, а\nсуществуют лишь различные (притом в высшей степени\nразличные) метафизики,\nт.е.всякого рода попытки к\nметафизике, &#151; их очень много, именно столько,\nсколько когда-либо было философов, так что каждая\nиз них поет совершенно иную песню, и потому все они\nв корне расходятся и разногласят одна с другой.', 'Поэтому позволительно, конечно, спрашивать о связи\nмежду этикой и аристотелевской, эпикуровской,\nспинозовской, лейбницевской, локковской или иной\nкакой определенно указанной метафизикой; но никогда\nи ни в коем случае нельзя спрашивать о связи между\nэтикой и просто метафизикой, &#151; ибо\nвопрос этот был бы лишен всякого определенного\nсмысла, предполагая соотношение между вещью данной\nи вещью совершенно неопределенной, быть может\n&#151; даже невозможной.']	знаем	negation	True	pres	philosophy
3	Ибо , как истинная Академия , она не знает никаких иных интересов , кроме интересов истины , света , содействия человеческому пониманию и познанию .	никаких иных интересов , кроме интересов истины , света , содействия человеческому пониманию и познанию .	['Правда, это не помешало Королевской Норвежской\nАкадемии увенчать мою работу.', 'Зато и принадлежать к\nэтой Академии есть честь, значение которой я с\nкаждым днем начинаю яснее видеть и полнее ценить.']	знает	negation	True	pres	philosophy
4	я и взялся дать на них ответ . Ибо хотя мне давно уже стало ясно , что я слишком серьезно отношусь к философии , чтобы мог сделаться ее профессором , но я все-таки не думал , что тот же самый порок может повредить мне и в глазах какой-либо академии .	что я слишком серьезно отношусь к философии , чтобы мог сделаться ее профессором , но я все-таки не думал , что тот же самый порок может повредить мне и в глазах какой-либо академии .	['Опасения за последствия и есть, без\nсомнения, та причина, почему европейские академии\nобычно весьма остерегаются выставлять подобные\nтемы.', 'В самом деле, два разработанных здесь\nконкурсных вопроса &#151; первые в этом роде, с\nкоторыми, насколько я помню, пришлось мне\nвстретиться в жизни: поэтому-то, pour la rarete du\nfait (из-за редкости дела (фр.).)']	думал	negation	False	past	philosophy
5	имея своим ядром неведомо откуда взятую и вздорную выдумку , не знает ни снований , ни следствий , т.е.ничем не доказывается и сама ничего не доказывает и ничего не объясняет и к тому же , лишенная оригинальности , является простой пародией на схоластический реализм и одновременно на спинозизм , & # 151 ; чудовище , долженствующее притом же еще , с оборотной своей стороны , представлять собою христианство : Prosthe Icon , opithen de dracon , messe de chimaira ( Лев головою , задом дракон и коза серединой7 ( греч . ) ) .	ни снований , ни следствий , т.е.ничем не доказывается и сама ничего не доказывает и ничего не объясняет и к тому же , лишенная оригинальности , является простой пародией на схоластический реализм и одновременно на спинозизм , & # 151 ; чудовище , долженствующее притом же еще , с оборотной своей стороны , представлять собою христианство : Prosthe Icon , opithen de dracon , messe de chimaira ( Лев головою , задом дракон и коза серединой7 ( греч . ) ) .	['Стыд чтоб\nпотом на тебя за чужие не пал\nпрегрешенья6 (лат.).).', 'Итак, я буду прав, если с этой целью скажу, что\nтак называемая философия этого Гегеля &#151;\nколоссальная мистификация, которая и у наших\nпотомков будет служить неисчерпаемым материалом для\nнасмешек над нашим временем: что это &#151;\nпсевдофилософия, расслабляющая все умственные\nспособности, заглушающая всякое подлинное мышление\nи ставящая на его место помощью беззаконнейшего\nзлоупотребления словами пустейшую, бессмысленнейшую\nи потому, как показывают результаты,\nумопомрачительнейшую словесную чепуху; что она.']	знает	negation	True	pres	philosophy
6	& # 151 ; & # 171 ; Замечаете ли вы , & # 151 ; закричал шарлатан , & # 151 ; ту тонкость ума , какую он перед нами обнаруживает ?		['&#151;\nостановил, толкая его локтем, приятель, &#151; ты\nхочешь, чтобы тебя все подняли на смех?', 'Ты не\nдолжен называть его иначе, как орлом, хотя бы ты\nдумал совсем противное: ведь мы все так\nпоступаем&#187;.']	обнаруживает	question	True	pres	philosophy
7	Кто ее не уловит и не поймет , того должно признать лишенным всякой гениальности & # 187 ; .	, того должно признать лишенным всякой гениальности & # 187 ; .	['Ты не\nдолжен называть его иначе, как орлом, хотя бы ты\nдумал совсем противное: ведь мы все так\nпоступаем&#187;.', '&#151; &#171;Замечаете ли вы,\n&#151; закричал шарлатан, &#151; ту тонкость ума,\nкакую он перед нами обнаруживает?']	поймет	negation	True	futr	philosophy
8	Это удастся , если ты обнаружишь достаточную наглость : но если люди разгадают , в чем дело , они втопчут тебя в грязь , как ты того заслуживаешь2 ( нем. ) . ) .	достаточную наглость : но если люди разгадают , в чем дело , они втопчут тебя в грязь , как ты того заслуживаешь2 ( нем. ) . ) .	['Хорошее бранить?', 'Попробуй!']	обнаружишь	condition	True	futr	philosophy
9	Если же мы захотим принять таковое , мы с таким же удобством могли бы взять для этого первое , как и произвольно выбранное последнее , а в таком случае вопрос свелся бы просто-напросто к следующему : & # 171 ; Можешь ли ты хотеть ? & # 187 ; Но устанавливается ли свобода воли простым утвердительным ответом на этот вопрос & # 151 ; вот что желательно бы знать и что остается не решенным .	что желательно бы знать и что остается не решенным .	['Но теперь мы спрашиваем о свободе самого хотения,\nтак что вопрос этот должен принять такой вид:\n&#171;Можешь ли ты также хотеть того, что ты\nхочешь?&#187; &#151; выходит так, как будто бы\nданное хотение зависело еще и от какого-то другого,\nза ним скрывающегося хотения.', 'И положим, что на\nэтот вопрос дан утвердительный ответ, &#151; тогда\nтотчас возникает опять вопрос: &#171;можешь ли ты\nтакже хотеть, чего ты хочешь хотеть?&#187; &#151; и\nтаким образом пришлось бы подниматься все выше и\nвыше в бесконечность, причем одно хотение мы всегда\nмыслили бы в зависимости от другого, более раннего\nили глубже лежащего, тщетно стремясь таким путем\nдостигнуть наконец хотения, которое пришлось бы\nмыслить и признать уже за совершенно ни от чего не\nзависящее.']	знать	modals	True		philosophy
